Id,Label,movies_credited,degree,weighted_degree
Carolyn Hennesy,Carolyn Hennesy,1,2,2
Nick Stahl,Nick Stahl,3,6,6
Bradley Cooper,Bradley Cooper,20,33,40
Djimon Hounsou,Djimon Hounsou,15,27,30
Mackenzie Foy,Mackenzie Foy,4,8,8
Matthew McConaughey,Matthew McConaughey,26,51,52
Atsuko Maeda,Atsuko Maeda,2,2,4
Mark Chinnery,Mark Chinnery,2,2,4
Shin'ya Tsukamoto,Shin'ya Tsukamoto,2,2,4
Jordana Brewster,Jordana Brewster,7,10,14
Jason Flemyng,Jason Flemyng,20,29,40
Julia Ormond,Julia Ormond,7,13,14
Josh Hutcherson,Josh Hutcherson,15,26,30
Philip Seymour Hoffman,Philip Seymour Hoffman,25,48,50
Nicolas Cage,Nicolas Cage,34,62,68
Omar Benson Miller,Omar Benson Miller,5,10,10
Robert Capron,Robert Capron,1,2,2
Andre Braugher,Andre Braugher,6,12,12
Mike Vogel,Mike Vogel,7,14,14
Eric Idle,Eric Idle,9,18,18
Justin Timberlake,Justin Timberlake,10,20,20
Rupert Everett,Rupert Everett,9,18,18
Callum Rennie,Callum Rennie,11,22,22
Dominic Cooper,Dominic Cooper,11,20,22
Ruth Negga,Ruth Negga,2,3,4
Emilia Clarke,Emilia Clarke,2,4,4
Matt Smith,Matt Smith,3,6,6
Bruce Spence,Bruce Spence,6,12,12
Laura Brent,Laura Brent,1,2,2
Jaime King,Jaime King,6,11,12
Jennifer Garner,Jennifer Garner,15,28,30
Mako,Mako,11,19,22
Michael O'Neill,Michael O'Neill,6,12,12
Zack Ward,Zack Ward,6,12,12
Anthony Hopkins,Anthony Hopkins,30,57,60
Brian Blessed,Brian Blessed,7,12,14
Fiona Shaw,Fiona Shaw,4,7,8
Robert Pattinson,Robert Pattinson,8,10,16
Charlize Theron,Charlize Theron,24,43,48
Alice Braga,Alice Braga,6,12,12
Willow Smith,Willow Smith,2,4,4
David Kelly,David Kelly,4,8,8
Brian Dennehy,Brian Dennehy,9,16,18
Janeane Garofalo,Janeane Garofalo,11,20,22
Bernie Mac,Bernie Mac,14,27,28
Cedric the Entertainer,Cedric the Entertainer,10,17,20
Jada Pinkett Smith,Jada Pinkett Smith,18,28,36
Rami Malek,Rami Malek,5,6,10
Robin Williams,Robin Williams,27,49,54
Steve Coogan,Steve Coogan,17,27,34
Dominic Monaghan,Dominic Monaghan,1,2,2
Collin Chou,Collin Chou,1,2,2
Essie Davis,Essie Davis,2,4,4
Nona Gaye,Nona Gaye,2,4,4
Josh Gad,Josh Gad,8,14,16
Livvy Stubenrauch,Livvy Stubenrauch,1,2,2
Maurice LaMarche,Maurice LaMarche,3,6,6
Daniel Bernhardt,Daniel Bernhardt,1,2,2
Helmut Bakaitis,Helmut Bakaitis,1,2,2
Steve Bastoni,Steve Bastoni,3,6,6
Natalie Portman,Natalie Portman,20,35,40
Zoë Kravitz,Zoë Kravitz,8,16,16
Armin Mueller-Stahl,Armin Mueller-Stahl,5,10,10
Ayelet Zurer,Ayelet Zurer,6,8,12
Diedrich Bader,Diedrich Bader,8,16,16
James Lipton,James Lipton,1,2,2
Kelli Garner,Kelli Garner,6,12,12
Niecy Nash,Niecy Nash,1,2,2
Piper Mackenzie Harris,Piper Mackenzie Harris,2,4,4
Edgar Ramírez,Edgar Ramírez,9,16,18
Lily James,Lily James,4,6,8
Jeremy Renner,Jeremy Renner,12,23,24
Sean Harris,Sean Harris,5,10,10
Art Malik,Art Malik,3,6,6
Simon Merrells,Simon Merrells,2,4,4
Matthew Broderick,Matthew Broderick,16,29,32
Oprah Winfrey,Oprah Winfrey,6,12,12
Rip Torn,Rip Torn,13,25,26
Mike Bell,Mike Bell,1,2,2
Aasif Mandvi,Aasif Mandvi,4,8,8
Noah Ringer,Noah Ringer,1,2,2
Seychelle Gabriel,Seychelle Gabriel,1,2,2
Jake Weber,Jake Weber,4,8,8
Matt Craven,Matt Craven,4,8,8
Dan Fogler,Dan Fogler,6,12,12
Elisabeth Harnois,Elisabeth Harnois,1,2,2
Tom Everett Scott,Tom Everett Scott,7,14,14
David Suchet,David Suchet,2,4,4
Cara Delevingne,Cara Delevingne,5,6,10
Nonso Anozie,Nonso Anozie,5,6,10
Karan Brar,Karan Brar,2,4,4
Ty Burrell,Ty Burrell,9,16,18
Zach Callison,Zach Callison,1,2,2
Julian Glover,Julian Glover,5,10,10
Martin Short,Martin Short,7,13,14
Colin Salmon,Colin Salmon,10,20,20
Rick Yune,Rick Yune,3,6,6
Toby Stephens,Toby Stephens,3,6,6
Ed Begley Jr.,Ed Begley Jr.,10,16,20
Kate McKinnon,Kate McKinnon,2,2,4
Zach Woods,Zach Woods,3,4,6
Bruce Willis,Bruce Willis,40,70,80
Will Patton,Will Patton,8,16,16
Rosario Dawson,Rosario Dawson,21,38,42
Sebastian Roché,Sebastian Roché,1,2,2
Wayne Knight,Wayne Knight,8,15,16
Michael Nyqvist,Michael Nyqvist,4,8,8
Kamil McFadden,Kamil McFadden,1,2,2
Khamani Griffin,Khamani Griffin,2,4,4
David Herman,David Herman,2,4,4
John Michael Higgins,John Michael Higgins,10,19,20
Richard Burgi,Richard Burgi,3,6,6
Chad Lindberg,Chad Lindberg,3,6,6
Tony Goldwyn,Tony Goldwyn,10,18,20
Ben Mendelsohn,Ben Mendelsohn,10,18,20
María Valverde,María Valverde,3,4,6
Leonard Nimoy,Leonard Nimoy,9,10,18
Bryan Brown,Bryan Brown,2,4,4
Elodie Yung,Elodie Yung,2,4,4
Joe Morton,Joe Morton,10,19,20
Richard Roxburgh,Richard Roxburgh,6,12,12
Sam Shepard,Sam Shepard,15,29,30
Billy Crudup,Billy Crudup,9,18,18
Matt Frewer,Matt Frewer,3,6,6
Stephen McHattie,Stephen McHattie,7,13,14
Darlene Love,Darlene Love,1,2,2
Rene Russo,Rene Russo,8,15,16
Celia Weston,Celia Weston,6,12,12
Kevin Rankin,Kevin Rankin,2,4,4
Regi Davis,Regi Davis,1,2,2
Dwayne Johnson,Dwayne Johnson,23,42,46
Jean Simmons,Jean Simmons,5,10,10
Ming-Na Wen,Ming-Na Wen,4,8,8
Desmond Llewelyn,Desmond Llewelyn,10,18,20
Maria Grazia Cucinotta,Maria Grazia Cucinotta,1,2,2
David Threlfall,David Threlfall,1,2,2
James D'Arcy,James D'Arcy,4,8,8
Lee Ingleby,Lee Ingleby,1,2,2
Taylor Lautner,Taylor Lautner,9,11,18
Peter Mensah,Peter Mensah,5,10,10
Don Johnson,Don Johnson,6,11,12
John Diehl,John Diehl,1,2,2
Philip Michael Thomas,Philip Michael Thomas,1,2,2
Mark Rylance,Mark Rylance,3,6,6
Penelope Wilton,Penelope Wilton,4,8,8
Rafe Spall,Rafe Spall,5,10,10
Lukas Haas,Lukas Haas,5,10,10
Ben Schwartz,Ben Schwartz,2,4,4
Snoop Dogg,Snoop Dogg,7,13,14
Stephen Root,Stephen Root,20,37,40
Andy Richter,Andy Richter,3,6,6
Annet Mahendru,Annet Mahendru,1,2,2
Matt Damon,Matt Damon,38,72,75
T.I.,T.I.,3,6,6
Sandra Ellis Lafferty,Sandra Ellis Lafferty,4,8,8
April Winchell,April Winchell,3,2,6
Jim Parsons,Jim Parsons,4,4,8
Matt Jones,Matt Jones,4,4,8
Lisa Ann Walter,Lisa Ann Walter,5,10,10
Rick Gonzalez,Rick Gonzalez,4,8,8
Henry Rollins,Henry Rollins,3,6,6
Jordi Mollà,Jordi Mollà,9,15,18
Amy Sedaris,Amy Sedaris,7,14,14
Constance Marie,Constance Marie,2,4,4
August Diehl,August Diehl,1,2,2
Emma Watson,Emma Watson,5,10,10
Logan Lerman,Logan Lerman,12,24,24
Mackenzie Crook,Mackenzie Crook,4,8,8
Toby Jones,Toby Jones,11,22,22
Tony Curran,Tony Curran,11,22,22
Eddie Baroo,Eddie Baroo,1,2,2
Alfre Woodard,Alfre Woodard,14,28,28
D.B. Sweeney,D.B. Sweeney,5,8,10
Della Reese,Della Reese,2,4,4
Dave Legeno,Dave Legeno,4,8,8
Ralph Ineson,Ralph Ineson,3,6,6
Will Ferrell,Will Ferrell,32,60,64
Verne Troyer,Verne Troyer,5,9,10
Stephanie Szostak,Stephanie Szostak,5,10,10
