actor,degree,strength,n_movies,imdb_mean,imdb_max,votes_mean,votes_max,genre_span,career_span_years,betweenness,eigenvector
Daniel Cudmore,2,2,1,6.8,6.8,383427.0,383427.0,5,0.0,0.0,0.0033845316827358
Hugh Jackman,40,48,24,6.866666666666668,8.5,224239.41666666666,844052.0,16,16.0,0.0012233843348448,0.0550242629977864
Kelsey Grammer,12,12,6,6.083333333333333,7.1,128339.0,383427.0,13,17.0,0.0001671825676048,0.0242488929881726
Sean Hayes,12,12,6,5.733333333333333,7.4,83227.33333333333,235025.0,8,10.0,0.0002160713763754,0.0201970258709138
Steve Buscemi,62,74,37,6.567567567567568,8.4,137609.8108108108,664719.0,17,23.0,0.0027199251785889,0.1237095112096465
Tyler Labine,13,14,7,6.442857142857143,7.6,124121.14285714286,403836.0,14,15.0,0.0001030047345487,0.022227610959215
Glenn Morshower,15,16,8,5.6875,6.5,126915.5,326180.0,9,19.0,0.0002727901645964,0.015772146114298
Kevin Dunn,15,16,8,6.6875,8.2,223385.625,513158.0,8,15.0,0.0003473977557761,0.0344254529986731
Ramon Rodriguez,10,10,5,6.42,7.4,154944.2,323207.0,7,8.0,6.185282930356986e-05,0.0094344900630398
Bingbing Li,8,8,4,5.800000000000001,6.1,88736.25,242420.0,8,3.0,5.118998233127032e-05,0.0048626967070407
Sophia Myles,8,8,4,5.925,7.0,154471.25,242420.0,7,11.0,3.393239208861521e-05,0.0032919792312655
Mila Kunis,25,30,15,6.500000000000001,8.0,169375.93333333332,551363.0,11,15.0,0.0003905452967688,0.0635724388554325
Tim Holmes,2,4,2,6.4,6.4,175411.0,175413.0,3,0.0,0.0,0.0158738120001273
B.J. Novak,6,6,3,6.433333333333333,7.5,149114.66666666666,321227.0,11,8.0,2.1104970531118515e-05,0.0067753433908945
James Frain,18,20,10,6.55,7.7,91403.0,264186.0,12,21.0,0.0004696214747851,0.041123812280827
Jeff Bridges,45,48,24,6.770833333333332,8.2,122209.16666666667,696338.0,17,35.0,0.0020693038472256,0.0787047412261958
Olivia Wilde,28,30,15,6.426666666666666,8.1,117572.53333333334,312629.0,13,10.0,0.0004872849848441,0.0517463628308306
Eddie Izzard,13,14,7,6.014285714285714,7.0,40468.142857142855,101178.0,14,13.0,9.14137000103948e-05,0.0218221579085957
Joe Mantegna,18,18,9,6.2444444444444445,7.6,51111.11111111111,267980.0,11,21.0,0.000212096033093,0.0148698405178894
Ryan Reynolds,38,38,19,6.610526315789474,8.1,144988.73684210525,479047.0,16,17.0,0.0015787298236348,0.047834346692833
Taika Waititi,2,2,1,5.6,5.6,223393.0,223393.0,3,0.0,0.0,0.0023211942678845
Temuera Morrison,8,8,4,5.050000000000001,6.5,78227.25,223393.0,9,15.0,5.73671984827465e-05,0.0065305411011109
Don Rickles,6,6,3,7.633333333333333,8.3,299486.3333333333,544884.0,8,15.0,0.0001569309729524,0.0141274800117147
John Ratzenberger,18,20,10,7.890000000000001,8.4,474710.5,718837.0,7,17.0,0.0002356647271728,0.0289065451383132
Tom Hanks,54,56,28,7.3999999999999995,8.8,307625.96428571426,1251222.0,17,31.0,0.0024631822038485,0.0640163348147774
Common,19,20,10,6.510000000000001,7.3,138519.4,447979.0,16,10.0,0.0005761217232481,0.0629077288620095
Jason Statham,42,52,26,6.546153846153846,8.3,178575.73076923078,600996.0,11,17.0,0.0017619975184986,0.1112657539284453
Paul Walker,32,38,19,6.305263157894737,7.4,115946.15789473684,284792.0,13,17.0,0.0009790501219584,0.0457843447613969
Vin Diesel,32,38,19,6.773684210526315,8.6,213229.8947368421,881236.0,13,17.0,0.0010810439825668,0.045603938031292
Brad Pitt,57,68,34,7.123529411764706,8.8,295389.5882352941,1347461.0,20,24.0,0.0018646092866769,0.1732191232363268
Mireille Enos,6,8,4,6.3,7.0,160978.0,465019.0,10,1.0,0.0002121872568602,0.0106788377824885
Peter Capaldi,6,8,4,7.1499999999999995,7.7,149998.25,465019.0,8,25.0,1.52228218412282e-05,0.0164186909173228
Jennifer Lawrence,22,30,15,7.046666666666667,8.0,272005.73333333334,701607.0,11,8.0,0.000496451731307,0.0632162506606458
Benedict Cumberbatch,20,20,10,7.1899999999999995,8.1,167822.3,467613.0,14,8.0,0.0002835966661687,0.0397035372731493
Bruce Greenwood,37,38,19,6.489473684210526,8.0,103507.21052631579,504419.0,16,20.0,0.0012160738859888,0.0319503178149889
Noel Clarke,2,2,1,7.8,7.8,395573.0,395573.0,3,0.0,0.0,0.0030595354868665
Eddie Marsan,20,24,12,7.316666666666666,8.2,273013.6666666667,791783.0,11,12.0,0.0002940312056968,0.0424351769367225
Ewen Bremner,14,16,8,7.125,8.2,168430.125,469561.0,10,17.0,0.0002972405013243,0.0253918594035727
Ralph Brown,4,4,2,5.949999999999999,6.3,56081.5,106416.0,3,6.0,1.1795691579170128e-05,0.0034244847512871
Elizabeth Debicki,4,6,3,7.3,7.3,300601.6666666667,362933.0,5,2.0,3.956461989313477e-05,0.0077561570543198
Steve Bisley,4,6,3,7.2,7.3,292692.3333333333,362933.0,6,34.0,4.6739346350241294e-05,0.007290480795289
Jake Gyllenhaal,38,40,20,6.955000000000001,8.1,183905.4,580999.0,13,14.0,0.0011588502955725,0.0564042857050748
Reece Ritchie,4,4,2,6.3,6.6,111790.0,222403.0,6,4.0,4.666154220762582e-05,0.0030752987417521
Richard Coyle,10,10,5,6.36,6.9,69977.8,222403.0,10,8.0,0.000104678791314,0.0141031638042845
Charlie Hunnam,12,12,6,6.75,7.9,151869.0,381148.0,11,11.0,0.0001590617264751,0.0261417629248018
Clifton Collins Jr.,30,32,16,6.3125,7.0,71604.5,381148.0,12,24.0,0.000869391892198,0.0541059000104284
Larry Joe Campbell,4,4,2,6.45,7.0,242189.0,381148.0,5,2.0,0.0001494273233753,0.0035064900433881
Lester Speight,2,2,1,6.3,6.3,326180.0,326180.0,3,0.0,0.0,0.002143312698821
Harrison Ford,56,58,29,7.075862068965518,8.8,235658.44827586206,911097.0,15,42.0,0.0020502256074165,0.0682510064224197
Jim Broadbent,55,60,30,6.703333333333334,8.2,83286.16666666667,333847.0,16,27.0,0.0023395023683681,0.08856528671461
Ray Winstone,34,36,18,6.199999999999999,8.5,111258.72222222222,873649.0,15,15.0,0.0008112473848437,0.0475761914778183
A.J. Buckley,10,10,5,6.039999999999999,6.8,14527.8,62836.0,9,15.0,0.0003307023342486,0.0017807281605298
Jack McGraw,2,2,1,6.8,6.8,62836.0,62836.0,5,0.0,0.0,7.942326016029211e-05
Peter Sohn,2,2,1,6.8,6.8,62836.0,62836.0,5,0.0,0.0,7.942326016029211e-05
Julie Walters,16,16,8,7.0874999999999995,7.7,87353.125,273556.0,10,15.0,0.000204857850538,0.0183952824781919
Kelly Macdonald,16,16,8,7.0875,8.2,226119.0,612060.0,11,16.0,0.0002970634299632,0.0268886736242554
Fred Willard,21,24,12,5.758333333333334,8.4,117969.58333333333,718837.0,10,20.0,0.0002774329419536,0.0224425336262503
Jeff Garlin,10,10,5,6.4799999999999995,8.4,178228.8,718837.0,7,9.0,9.08625753888198e-05,0.0047151292681185
Dana Ivey,8,8,4,6.750000000000001,7.8,71527.75,121084.0,7,22.0,5.950056838563547e-05,0.0062438360151454
Noémie Lenoir,4,4,2,5.65,6.2,73925.5,121084.0,4,8.0,1.1780184946804464e-05,0.0004402777313083
Tzi Ma,8,8,4,6.65,7.5,55677.75,121084.0,9,10.0,0.0002056678605062,0.0017993254541981
Liam James,6,6,3,6.900000000000001,7.5,134184.33333333334,283418.0,6,4.0,2.1987569209974543e-05,0.0080643281770495
Oliver Platt,41,42,21,6.514285714285713,9.0,82411.09523809524,518537.0,16,23.0,0.0010319835604864,0.0578888610506531
Tom McCarthy,6,8,4,6.575,7.1,158715.5,283418.0,8,3.0,0.0001898924703214,0.0062608921471796
Colin Firth,32,38,19,6.773684210526315,8.0,104167.94736842105,503631.0,15,18.0,0.0005669842632514,0.063859310971388
Gary Oldman,40,46,23,6.51304347826087,8.0,124207.13043478261,382255.0,15,24.0,0.0011721786707687,0.0861494474355701
Robin Wright,26,26,13,6.792307692307692,8.1,123113.69230769231,330152.0,16,26.0,0.0005002550605172,0.0618459726396881
Channing Tatum,42,44,22,6.281818181818181,7.3,121834.13636363637,408302.0,15,11.0,0.000911171717407,0.0427512551424051
Eddie Redmayne,14,14,7,6.757142857142857,7.7,112998.57142857143,265507.0,9,8.0,9.694494061158126e-05,0.022234385117479
Casper Crump,2,4,2,6.6,6.6,42372.0,42372.0,4,0.0,0.0,0.0054107458878759
Kiran Shah,2,2,1,6.9,6.9,286506.0,286506.0,3,0.0,0.0,0.003963369460285
Shane Rangi,4,4,2,6.6,6.9,196476.0,286506.0,3,5.0,1.4047185589049526e-05,0.0042613860611419
Michael Fassbender,28,30,15,6.819999999999999,8.3,222133.66666666666,885175.0,13,10.0,0.000373650923842,0.050286208544787
Tye Sheridan,8,8,4,7.074999999999999,7.4,114131.5,148379.0,5,5.0,5.0943334779508176e-05,0.0220491263074015
Heath Ledger,19,20,10,7.010000000000001,9.0,277989.9,1676169.0,14,9.0,0.000305086621392,0.0425159112170411
Morgan Freeman,79,94,47,6.93404255319149,9.3,239661.6170212766,1689764.0,19,27.0,0.0048976593685065,0.2081262663230371
Delroy Lindo,26,30,15,6.553333333333334,8.3,89682.13333333333,665575.0,13,26.0,0.0005161205627311,0.0387099551576063
Jess Harnell,4,4,2,7.45,8.3,338140.5,665575.0,5,1.0,1.0493007132843784e-05,0.0030474624759368
Amy Poehler,25,28,14,5.878571428571429,8.3,78427.64285714286,345198.0,12,16.0,0.0003429294563296,0.0206527764267376
Rainn Wilson,14,16,8,6.5249999999999995,7.5,153514.375,414345.0,10,9.0,9.75650057555318e-05,0.0357841430293752
Stephen Colbert,4,4,2,7.3,8.1,59367.0,114553.0,6,0.0,8.249734170622039e-07,0.0033463178952553
Chloë Grace Moretz,31,34,17,6.341176470588237,7.7,121735.4705882353,376600.0,14,11.0,0.000838317902163,0.0416003662704026
Bai Ling,12,12,6,5.900000000000001,7.6,62607.166666666664,136580.0,12,16.0,0.0002149100167844,0.0118818014552298
Salma Hayek,36,38,19,6.194736842105264,7.5,75747.52631578948,219091.0,17,21.0,0.0008789330918283,0.0548868215255273
Brendan Fraser,34,34,17,5.788235294117647,7.5,50961.705882352944,248045.0,14,18.0,0.000972075168741,0.0230673248150702
Jet Li,21,26,13,6.576923076923077,7.9,100468.23076923077,270226.0,11,12.0,0.0016571779759443,0.040005901002429
Russell Wong,6,6,3,6.433333333333334,8.0,40319.0,117927.0,7,6.0,0.0001044712942273,0.0029254285595563
Ike Barinholtz,8,8,4,5.300000000000001,6.9,109639.75,216581.0,4,8.0,3.8406248979297714e-05,0.0057745584661898
Robin Atkin Downes,6,6,3,7.2,7.8,65902.66666666667,118992.0,9,12.0,9.866693769636198e-05,0.0030865711679602
Jimmy Bennett,16,16,8,6.000000000000001,7.0,71516.125,141663.0,10,4.0,0.0001402280855764,0.029200589727349
Steve Carell,36,40,20,6.6450000000000005,7.9,167643.4,385943.0,12,12.0,0.0007947448878587,0.0806506881782704
Lara Pulver,2,2,1,7.9,7.9,431620.0,431620.0,3,0.0,0.0,0.0046587958811076
Noah Taylor,11,12,6,7.183333333333334,7.9,149105.5,431620.0,14,18.0,0.0007941701937021,0.0166504351055509
Tom Cruise,53,58,29,7.0137931034482754,8.0,219974.89655172414,431620.0,16,32.0,0.0025245439106831,0.0924707362403013
Jeanne Tripplehorn,10,10,5,5.720000000000001,6.8,55917.2,144337.0,9,7.0,0.0002899952634304,0.0069891644982659
Rick Aviles,2,2,1,6.1,6.1,144337.0,144337.0,4,0.0,0.0,0.0003183483387305
Zakes Mokae,4,4,2,6.25,6.4,72806.0,144337.0,5,14.0,1.8600546376480543e-05,0.0004654312756242
Dennis Quaid,40,44,22,6.509090909090909,7.9,69557.04545454546,333248.0,18,32.0,0.0009213539524619,0.0542702943013572
Leo Howard,4,4,2,5.35,5.8,89955.0,174578.0,7,0.0,3.534093176744909e-06,0.0061916997524059
Mindy Kaling,6,6,3,6.6000000000000005,8.3,182024.0,345198.0,7,8.0,5.460601403212992e-05,0.0078464322456117
Phyllis Smith,4,4,2,7.0,8.3,252808.0,345198.0,6,4.0,3.0921517364042275e-06,0.0035864112946342
Bill Murray,59,68,34,6.917647058823531,8.1,125802.23529411765,475518.0,18,36.0,0.0034638901164344,0.1042733350441844
Garry Shandling,8,10,5,6.26,7.8,46459.6,106221.0,7,16.0,0.0001004763336758,0.0240729518278034
Kristen Stewart,30,40,20,6.12,8.2,150989.1,426359.0,12,12.0,0.00090791388131,0.0514043063062048
Angelina Jolie Pitt,46,50,25,6.412000000000001,7.8,140769.68,348861.0,15,21.0,0.001793529779817,0.1102907701597236
Sam Riley,8,8,4,6.55,7.7,83099.5,252257.0,11,9.0,2.1856102672594455e-05,0.0075523721281549
Sharlto Copley,8,8,4,7.125,8.0,323761.5,531737.0,9,6.0,6.260203675622264e-05,0.0134798456551497
Kodi Smit-McPhee,8,8,4,7.175000000000001,7.6,127429.0,317542.0,11,5.0,1.6755114331985842e-05,0.0152100795045389
Alice Englert,2,4,2,4.5,4.5,2138.0,2138.0,4,0.0,0.0,0.0002402785644125
Bipasha Basu,4,6,3,5.066666666666666,6.2,2514.0,3266.0,7,4.0,0.0001296677004015,0.0002411284900939
Tamsin Egerton,6,8,4,5.4,6.8,8026.75,18220.0,6,9.0,0.0001767054173191,0.0025727169109745
Cary-Hiroyuki Tagawa,22,24,12,6.191666666666666,8.1,81262.75,177729.0,13,28.0,0.0005646362227552,0.0183449154871017
Jin Akanishi,2,2,1,6.3,6.3,116994.0,116994.0,4,0.0,0.0,0.0037712473596422
Keanu Reeves,43,50,25,6.756,8.7,128390.44,1217752.0,15,30.0,0.0012246345859478,0.0699856388000075
Hayley Atwell,11,16,8,7.0375000000000005,7.8,200904.875,508818.0,11,7.0,9.787535144677364e-05,0.0207629843863686
Jon Hamm,16,18,9,6.288888888888889,7.6,132457.11111111112,280228.0,15,13.0,0.0004926280600098,0.01911413794503
Kathy Griffin,2,2,1,6.4,6.4,138661.0,138661.0,5,0.0,0.0,0.0013094647237547
Mary Kay Place,10,10,5,6.5,7.8,83480.2,254404.0,10,33.0,0.00030366167658,0.0115557384079903
Chris Bauer,12,12,6,6.583333333333333,7.1,62738.666666666664,128306.0,13,19.0,0.0001813493952769,0.0262803390656799
Thomas Robinson,2,2,1,6.5,6.5,128306.0,128306.0,5,0.0,0.0,0.0035945706476468
Abraham Benrubi,6,6,3,6.7,7.9,120914.0,279093.0,10,19.0,9.703856097842744e-06,0.0017434029332028
Damon Wayans Jr.,8,8,4,6.0,7.9,108878.5,279093.0,9,7.0,2.2216463485399263e-05,0.0022447557387691
Daniel Henney,4,4,2,7.1,7.9,140174.0,279093.0,8,2.0,1.2170991904562511e-06,0.001223444132962
Jack McBrayer,12,12,6,6.483333333333333,7.8,152528.16666666666,385943.0,10,6.0,4.242006496117155e-05,0.0116129024919651
Joe Lo Truglio,16,16,8,6.6375,7.8,129508.375,422606.0,8,11.0,0.0003160665422275,0.0072648810548303
Sarah Silverman,14,14,7,6.571428571428572,7.8,115409.71428571429,272534.0,9,14.0,0.000124668870644,0.0101804807031501
Eddie Deezen,4,4,2,6.3,6.6,77578.5,120798.0,5,11.0,0.0001113164318309,0.0028663411486974
Peter Scolari,2,2,1,6.6,6.6,120798.0,120798.0,4,0.0,0.0,0.0028558314255218
Judd Hirsch,8,8,4,6.925,8.2,203477.0,610568.0,7,36.0,4.418584213582982e-05,0.0056944172704041
Sela Ward,14,14,7,6.528571428571428,8.1,176895.85714285713,569841.0,9,23.0,0.0002881725451932,0.01274414659991
Vivica A. Fox,24,24,12,5.916666666666667,8.1,132066.16666666666,735784.0,11,20.0,0.0003563664267842,0.012035229145175
America Ferrera,14,16,8,6.9875,8.2,121496.5,485430.0,10,12.0,0.0002155917155884,0.0154171667623891
Craig Ferguson,6,6,3,7.266666666666667,8.2,167721.0,485430.0,6,12.0,6.114929418303407e-05,0.0045359481432787
Gerard Butler,47,50,25,6.54,8.2,127346.92,607235.0,17,16.0,0.0026124940835604,0.0648964621086193
Carolyn Hennesy,2,2,1,6.4,6.4,305340.0,305340.0,2,0.0,0.0,0.0003839468575927
Nick Stahl,6,6,3,7.0,7.6,157901.66666666666,305340.0,6,5.0,6.39588797166636e-06,0.0010806652830335
Bradley Cooper,33,40,20,6.534999999999999,8.1,194491.55,682155.0,15,10.0,0.0010551948666692,0.0813707670316256
Djimon Hounsou,27,30,15,6.426666666666667,8.5,215592.13333333333,982637.0,13,17.0,0.0008079579434036,0.0555743024843725
Mackenzie Foy,8,8,4,7.949999999999999,8.6,317160.5,928227.0,11,3.0,6.549682392474306e-05,0.0173596033771002
Matthew McConaughey,51,52,26,6.7423076923076914,8.6,142089.1923076923,928227.0,15,20.0,0.0022637400466947,0.0763253388339181
