node,degree,betweenness,eigenvector
Leslie Bibb,18,0.0005162464567141283,0.020317642241654943
Lili Taylor,18,0.0001815001571693364,0.025162620129232746
Michael McKean,18,0.00044086482586959576,0.01263205960213786
Barry Corbin,18,0.0003161239034329544,0.020747121640542304
Dianne Wiest,18,0.0006318630327796131,0.023355800402355548
Connie Nielsen,18,0.0005765549859984789,0.01790980447678823
Jon Heder,18,0.00023072169482800115,0.025857795960762753
Joe Mantegna,18,0.00021209603309304143,0.014869840517889435
Alicia Witt,18,0.00025235923974356204,0.01572383119229346
Michael Jai White,18,0.0002078680509476285,0.007545841802587779
Anne Heche,18,0.00022736287405747312,0.03176813189722265
Rob Riggle,18,0.00036585591148775805,0.01715862666978928
Jeffrey Jones,18,0.00032140637498865476,0.011645320000753322
Craig T. Nelson,18,0.0002965363025549623,0.01642122718980676
Emily Watson,18,0.0004855128856680725,0.026439057410788704
Donald Faison,18,0.00017843291361830567,0.007147932951729679
Omar Epps,17,0.00015497647436313447,0.020697878564767527
Cedric the Entertainer,17,0.00023112993878465467,0.011461301203837959
Debi Mazar,17,0.000262784218647717,0.02583643012110133
Haley Joel Osment,17,0.0003168774827591105,0.03769738733261705
Carmen Electra,17,0.00011675523203400151,0.018798474095300624
Billy Burke,17,0.0003417474305724576,0.024040959782279915
Ethan Suplee,17,0.00022206729971219766,0.03709370881260549
Bob Balaban,17,0.0007688236725430728,0.02621833448030099
Bryce Dallas Howard,17,0.0004937645901502915,0.023340238236823026
Ellen Burstyn,17,0.00028425855778874766,0.020937145841532168
William Hootkins,16,0.00036106800274709973,0.01313059937253249
Julie Walters,16,0.00020485785053804163,0.018395282478191964
Kathleen Turner,16,0.00018502071607731492,0.020286185854137804
Kelly Macdonald,16,0.00029706342996320135,0.026888673624255437
Diedrich Bader,16,0.00018651013582251657,0.010978259197475124
Mark Addy,16,0.0003249120764909317,0.014549101922624803
Peter Coyote,16,0.00020880994763860223,0.003309227708102325
Will Forte,16,0.00010879960593002581,0.007792668820643449
Jimmy Bennett,16,0.0001402280855764623,0.029200589727349097
Richard Schiff,16,0.0006309153389392871,0.017513172294988014
Marlon Brando,16,0.0002679246043748125,0.04143911843585987
