actor,n_movies,imdb_mean,imdb_max,votes_mean,votes_max,genre_span,career_span_years
Danny Strong,1,6.3,6.3,37700.0,37700.0,2,0.0
Samm Levine,1,6.3,6.3,37700.0,37700.0,2,0.0
Bruno Kirby,2,7.449999999999999,7.6,123728.0,149108.0,5,2.0
Harley Jane Kozak,1,7.6,7.6,149108.0,149108.0,3,0.0
Gretchen Palmer,1,7.6,7.6,149108.0,149108.0,3,0.0
Jack Warden,5,7.26,8.9,100139.0,447785.0,6,42.0
Mark Walters,1,6.4,6.4,35312.0,35312.0,4,0.0
Ron Lester,1,6.4,6.4,35312.0,35312.0,4,0.0
Rachel Brosnahan,2,4.8,4.8,42182.5,42183.0,5,0.0
Vincent Walsh,1,5.4,5.4,1449.0,1449.0,1,0.0
Finn Ireland,1,5.4,5.4,1449.0,1449.0,1,0.0
Sergi López,2,7.8,8.2,251041.0,467234.0,5,4.0
Maribel Verdú,2,7.949999999999999,8.2,279305.5,467234.0,6,5.0
Ivana Baquero,1,8.2,8.2,467234.0,467234.0,3,0.0
Jessika Van,1,6.6,6.6,7210.0,7210.0,4,
Angell Conwell,2,5.5,6.4,7589.0,9566.0,5,0.0
Kamel Krifa,1,5.5,5.5,28736.0,28736.0,2,0.0
Bolo Yeung,2,6.15,6.8,43157.0,57578.0,5,3.0
Alonna Shaw,1,5.5,5.5,28736.0,28736.0,2,0.0
Joe Cornish,1,7.9,7.9,352695.0,352695.0,3,0.0
Gustaf Skarsgård,1,6.6,6.6,18041.0,18041.0,5,0.0
Tsianina Joelson,1,5.3,5.3,13661.0,13661.0,3,0.0
Marc Donato,2,6.75,7.2,13443.0,25549.0,2,2.0
Cynthia Stevenson,1,5.1,5.1,92712.0,92712.0,3,0.0
Tracey Walter,3,6.033333333333334,6.9,12956.0,25332.0,7,16.0
Don Pardo,1,7.6,7.6,24256.0,24256.0,1,0.0
Ruby Jerins,1,7.2,7.2,113963.0,113963.0,2,0.0
Alexandra Holden,2,6.25,6.8,5202.0,8215.0,4,5.0
Trent Ford,2,5.75,5.8,5416.5,8215.0,5,4.0
Brad William Henke,3,7.0,7.4,31136.0,51996.0,5,7.0
Farrah Fawcett,2,5.2,6.8,21116.0,39847.0,4,28.0
Karl Malden,5,7.279999999999999,8.2,52876.8,100890.0,9,28.0
Brian Keith,2,5.85,6.8,23925.5,42614.0,6,9.0
Shannon Tweed,1,6.8,6.8,30682.0,30682.0,2,0.0
Jon Polito,3,6.333333333333333,7.2,51469.666666666664,98629.0,8,28.0
Robin Weigert,1,7.2,7.2,24104.0,24104.0,1,0.0
Angela Sarafyan,2,7.1,7.6,10311.5,20616.0,3,2.0
Lynn Redgrave,5,6.94,7.5,18548.6,31077.0,9,37.0
Tuppence Middleton,3,7.3999999999999995,8.2,64852.333333333336,92640.0,7,0.0
Michel Galabru,1,7.1,7.1,30587.0,30587.0,2,0.0
Jodie Whittaker,2,6.4,6.6,43997.5,82331.0,7,3.0
Emily Alyn Lind,1,7.3,7.3,45449.0,45449.0,2,0.0
Paz de la Huerta,2,7.35,7.4,104075.0,162701.0,3,7.0
Justin Kirk,3,5.366666666666667,5.7,4967.0,7444.0,4,4.0
Ivan Sergei,1,5.1,5.1,7444.0,7444.0,3,0.0
Conrad Kemp,1,6.7,6.7,12817.0,12817.0,3,0.0
Tanya van Graan,1,6.7,6.7,12817.0,12817.0,3,0.0
Trond Fausa,1,8.1,8.1,19164.0,19164.0,3,
Steven Van Zandt,1,8.1,8.1,19164.0,19164.0,3,
Tommy Karlsen,1,8.1,8.1,19164.0,19164.0,3,
Charles Aznavour,1,6.6,6.6,8624.0,8624.0,2,0.0
David Alpay,1,6.6,6.6,8624.0,8624.0,2,0.0
Marie-Josée Croze,3,6.866666666666667,7.7,12894.0,24921.0,7,1.0
William Shockley,1,6.5,6.5,1033.0,1033.0,2,0.0
Carole Bouquet,1,6.6,6.6,29392.0,29392.0,5,0.0
Ryôko Hirosue,1,6.6,6.6,29392.0,29392.0,5,0.0
Michel Muller,1,6.6,6.6,29392.0,29392.0,5,0.0
Dustin Milligan,3,6.5,6.5,30872.0,61912.0,7,4.0
Adrian Pasdar,1,6.9,6.9,219171.0,219171.0,3,0.0
Chen Chang,2,7.15,7.9,113583.5,217740.0,3,15.0
Sihung Lung,1,7.9,7.9,217740.0,217740.0,3,0.0
Pei-Pei Cheng,1,7.9,7.9,217740.0,217740.0,3,0.0
Ara Celi,1,8.4,8.4,822500.0,822500.0,1,0.0
Hugh O'Brian,1,6.0,6.0,87538.0,87538.0,2,0.0
Bex Taylor-Klaus,1,7.3,7.3,18058.0,18058.0,5,
Jason Wiles,1,7.3,7.3,18058.0,18058.0,5,
Bobby Campo,1,7.3,7.3,18058.0,18058.0,5,
Rae Dawn Chong,4,7.1,7.8,61230.75,111649.0,6,30.0
Kyung-gu Sol,2,6.45,7.2,2974.5,3290.0,4,6.0
Ji-won Ha,1,5.7,5.7,2659.0,2659.0,4,0.0
Nicole Dionne,1,5.7,5.7,2659.0,2659.0,4,0.0
Allen Leech,1,8.1,8.1,467613.0,467613.0,4,0.0
Levon Helm,3,7.733333333333333,8.2,19926.333333333332,34194.0,9,27.0
Isabelle Nélisse,1,6.2,6.2,134869.0,134869.0,2,0.0
Megan Charpentier,1,6.2,6.2,134869.0,134869.0,2,0.0
Jackson Nicoll,2,6.0,6.6,44478.5,77724.0,2,1.0
Georgina Cates,1,6.6,6.6,77724.0,77724.0,1,0.0
Grasie Mercedes,1,6.6,6.6,77724.0,77724.0,1,0.0
Sylvia Syms,1,7.3,7.3,85333.0,85333.0,2,0.0
Glenn Shadix,1,7.5,7.5,189413.0,189413.0,2,0.0
Jessica Raine,1,6.4,6.4,139749.0,139749.0,4,0.0
Tessa Thompson,1,5.0,5.0,34711.0,34711.0,2,0.0
Lee Majors,4,5.6000000000000005,6.3,20547.25,29008.0,4,6.0
Clayton Snyder,1,5.3,5.3,27580.0,27580.0,5,0.0
Adam Lamberg,1,5.3,5.3,27580.0,27580.0,5,0.0
Allison Tolman,3,6.8,7.1,63230.666666666664,79916.0,5,0.0
Virginia Capers,1,7.2,7.2,13442.0,13442.0,3,0.0
Rae'Ven Kelly,1,7.2,7.2,13442.0,13442.0,3,0.0
Dororthy Thorton,1,7.2,7.2,13442.0,13442.0,3,0.0
