Id,Label,movies_credited,degree,weighted_degree
Adam Scott,Adam Scott,14,28,28
Frances Conroy,,9,18,18
Catherine Tate,,1,2,2
James Corden,,7,14,14
Olly Alexander,,2,4,4
Chad L. Coleman,,1,2,2
Dirk Benedict,,1,2,2
Dwight Schultz,,1,2,2
George Peppard,,2,4,4
Sullivan Stapleton,,2,4,4
Madison McKinley,,1,2,2
Mahadeo Shivraj,,1,2,2
Tim Gunn,,1,2,2
G.W. Bailey,,2,4,4
Roseanne Barr,,1,2,2
Olga Fonda,,1,2,2
Torey Michael Adkins,,1,2,2
Jacob Tremblay,,2,4,4
Nancy O'Dell,,4,8,8
Vanessa Matsui,,1,2,2
Jason Patric,,5,10,10
Lois Chiles,,2,4,4
Aramis Knight,,1,2,2
Moises Arias,,6,8,12
Cyril Raffaelli,,2,4,4
Jonathan Sadowski,,2,4,4
Billy Boyd,,4,5,8
Cécile De France,,5,8,10
Kelly Preston,Kelly Preston,11,22,22
Spencer Breslin,,3,6,6
Chi McBride,,6,12,12
Philip Glenister,,1,2,2
Chazz Palminteri,Chazz Palminteri,15,30,30
Jeffrey Jones,,9,18,18
Anika Noni Rose,,3,6,6
Jenifer Lewis,,5,10,10
Benedict Wong,,4,8,8
Donald Glover,,3,6,6
Mathew Buck,,1,0,0
Del Zamora,,2,4,4
Warren Beatty,,5,10,10
Robert Duvall,Robert Duvall,25,43,50
Connie Nielsen,,9,18,18
Oliver Reed,,4,8,8
Frank Grillo,,9,16,18
Jessica Capshaw,,2,4,4
Ivana Milicevic,,9,16,18
Tobias Menzies,,3,4,6
Erick Avari,,4,6,8
Estella Warren,,5,8,10
Jenette Goldstein,,3,6,6
S. Epatha Merkerson,,4,8,8
Denzel Washington,Denzel Washington,32,60,64
RZA,,7,14,14
Ruby Dee,,6,10,12
Jamie Lee Curtis,Jamie Lee Curtis,15,24,30
Tia Carrere,,6,12,12
Tom Arnold,,9,18,18
Michael Rispoli,,5,10,10
Blythe Danner,,9,14,18
Robert De Niro,Robert De Niro,54,94,108
Teri Polo,,8,12,16
Derek Jeter,,1,2,2
Roma Maffia,,3,6,6
Vanessa Williams,,9,18,18
Bill Fagerbakke,,2,4,4
Jason Alexander,,4,8,8
Eartha Kitt,,4,8,8
John Fiedler,,4,7,8
Wendie Malick,,4,8,8
Sylvester Stallone,Sylvester Stallone,27,47,54
Annie Parisse,,2,4,4
Armando Riesco,,5,9,10
Ed Speleers,,2,4,4
Gary Lewis,,3,6,6
Catherine O'Hara,Catherine O'Hara,14,26,28
Max Records,,1,2,2
Ryan Corr,,2,4,4
Emma Kenney,,1,2,2
Troy Evans,,3,6,6
Rufus Sewell,Rufus Sewell,13,20,26
Mark Margolis,Mark Margolis,12,22,24
Udo Kier,Udo Kier,12,23,24
Stephen Collins,,4,8,8
Debi Mazar,,9,17,18
Rene Auberjonois,,2,4,4
Jake Busey,,9,18,18
Patrick Muldoon,,2,4,4
Seth Gilliam,,3,6,6
Jim Sturgess,,7,12,14
Anthony LaPaglia,,4,8,8
Alex Borstein,,5,10,10
Christopher Heyerdahl,,4,6,8
Ingrid Bolsø Berdal,,4,6,8
Michael Wincott,,11,19,22
Anna Friel,,4,8,8
Bobb'e J. Thompson,,4,8,8
Ben Stein,,1,2,2
Jamie Kennedy,,7,13,14
Traylor Howard,,2,4,4
Benjamin Walker,,2,4,4
Frank Dillane,,1,2,2
Burt Young,,5,10,10
Randy Quaid,,7,14,14
Igal Naor,,1,2,2
Sean Huze,,1,2,2
Bill Melendez,,2,4,4
Francesca Capaldi,,1,2,2
Venus Schultheis,,1,2,2
Ben Gazzara,,5,10,10
Campbell Scott,,6,10,12
Felicity Huffman,,4,8,8
Patricia Velasquez,,1,2,2
Ni Ni,,1,2,2
Shigeo Kobayashi,,1,2,2
Jon Heder,,9,18,18
Zooey Deschanel,Zooey Deschanel,19,36,38
Jon Lovitz,Jon Lovitz,14,23,28
Roger Bart,,1,2,2
Katherine LaNasa,,2,4,4
Thomas Middleditch,,1,2,2
Milla Jovovich,Milla Jovovich,19,33,38
Chris Noth,,6,11,12
Kristin Davis,,6,11,12
Liza Minnelli,,3,6,6
Elton John,,3,6,6
Frank Welker,,8,16,16
Rosie Perez,,5,10,10
Drake,,1,2,2
Derek Jacobi,,8,14,16
AJ Michalka,,3,4,6
Michael Imperioli,,5,8,10
Alexander Gould,,3,6,6
Bernard Hill,,5,10,10
Olivia Williams,Olivia Williams,11,22,22
Chris Barrie,,1,2,2
Alessandro Nivola,,4,8,8
Michael Jeter,,7,14,14
Trevor Morgan,,4,8,8
David Oyelowo,David Oyelowo,11,20,22
Joan Plowright,,4,8,8
Tod Fennell,,1,2,2
Cole Hauser,Cole Hauser,11,20,22
Megalyn Echikunwoke,,3,6,6
Craig T. Nelson,,10,18,20
Holly Hunter,Holly Hunter,13,24,26
Lou Romano,,1,2,2
Christopher Masterson,,2,4,4
Matthew Modine,,2,4,4
Linda Fiorentino,,3,6,6
Ethan Suplee,,10,17,20
Harris Yulin,,2,4,4
John Lone,,1,2,2
Mei Melançon,,1,2,2
Amber Valletta,,7,14,14
Miranda Otto,,5,10,10
Al Roker,,1,2,2
Will Forte,,9,16,18
Denis Leary,,5,10,10
Kelly Keaton,,1,2,2
Maile Flanagan,,1,2,2
Adrian Martinez,,5,10,10
Joey Slotnick,,3,6,6
Kelly Lynch,,3,6,6
LL Cool J,LL Cool J,10,20,20
Harvey Fierstein,,4,8,8
June Foray,,1,2,2
Brandon T. Jackson,,5,9,10
Goran Visnjic,,6,12,12
Joely Richardson,,5,10,10
Aldis Hodge,,2,4,4
Kevin Chamberlin,,3,6,6
Robert Maillet,,2,4,4
Cree Summer,,4,7,8
Jim Varney,,2,4,4
Bella Thorne,,5,10,10
Jesse McCartney,,5,9,10
Joshua Mikel,,3,4,6
Adam Sandler,Adam Sandler,24,37,48
Kevin Nealon,,6,10,12
Sayed Badreya,,2,4,4
Haley Joel Osment,,9,17,18
Kevin Sussman,,7,14,14
Marc John Jefferies,,3,6,6
Marsha Thomason,,3,6,6
Rachael Harris,,5,8,10
Larry King,,3,6,6
Tom Skerritt,Tom Skerritt,10,20,20
Greg Grunberg,,4,8,8
Kim Dickens,,4,8,8
Curtiss Cook,,4,8,8
George Harris,,2,4,4
Michael Wright,,1,2,2
Leven Rambin,,3,6,6
Sanaa Lathan,,8,15,16
Alun Armstrong,,4,8,8
Michael Byrne,,2,4,4
Velibor Topic,,1,2,2
Catherine McCormack,,6,12,12
Stephen Dillane,,6,12,12
Kim Delaney,,1,2,2
Wanda Sykes,,5,10,10
Will.i.am,,1,2,2
Anne Heche,,9,18,18
Gaby Hoffmann,,6,12,12
Natascha McElhone,,4,8,8
Christian Camargo,,2,4,4
Lex Shrapnel,,1,2,2
Sandahl Bergman,,3,4,6
William Smith,,5,8,10
Bruce McGill,Bruce McGill,16,32,32
Paddy Considine,,7,14,14
Rosemarie DeWitt,,5,8,10
Richard E. Grant,,6,12,12
Shirley Henderson,Shirley Henderson,11,20,22
Michael Angarano,Michael Angarano,13,26,26
Alan Ruck,,8,16,16
Jami Gertz,,3,6,6
Nick Searcy,,2,4,4
Paul Sanchez,,2,4,4
