Source,Target,Weight,Type
Chris Hemsworth,Leonard Nimoy,1,Undirected
Chris Hemsworth,Charlize Theron,1,Undirected
Chris Hemsworth,Benjamin Walker,1,Undirected
Chris Hemsworth,Frank Dillane,1,Undirected
Chris Hemsworth,Archie Kao,1,Undirected
Chris Hemsworth,Brandon Molale,1,Undirected
Chris Hemsworth,Alexandra Maria Lara,1,Undirected
Chris Hemsworth,Olivia Wilde,1,Undirected
Chris Hemsworth,Beverly D'Angelo,1,Undirected
Chris Hemsworth,Norman Reedus,1,Undirected
Chris Hemsworth,Bradley Whitford,1,Undirected
Chris Hemsworth,Kristen Connolly,1,Undirected
Chris Hemsworth,Marley Shelton,1,Undirected
Chris Hemsworth,Milla Jovovich,1,Undirected
Chris Hemsworth,Mike Starr,1,Undirected
Chris Hemsworth,Paul Sanchez,1,Undirected
Robert Downey Jr.,Scarlett Johansson,5,Undirected
Robert Downey Jr.,Chris Evans,1,Undirected
Robert Downey Jr.,Don Cheadle,1,Undirected
Robert Downey Jr.,Jon Favreau,3,Undirected
Robert Downey Jr.,Jeff Bridges,1,Undirected
Robert Downey Jr.,Eddie Marsan,2,Undirected
Robert Downey Jr.,Paul Anderson,1,Undirected
Robert Downey Jr.,Brandon T. Jackson,1,Undirected
Robert Downey Jr.,Steve Coogan,1,Undirected
Robert Downey Jr.,Robert Maillet,1,Undirected
Robert Downey Jr.,Anthony Edwards,1,Undirected
Robert Downey Jr.,Jake Gyllenhaal,1,Undirected
Robert Downey Jr.,Matt Walsh,1,Undirected
Robert Downey Jr.,RZA,1,Undirected
Robert Downey Jr.,Kristin Davis,1,Undirected
Robert Downey Jr.,Rachael Harris,1,Undirected
Robert Downey Jr.,Stephen Root,1,Undirected
Robert Downey Jr.,Adam Alexi-Malle,1,Undirected
Robert Downey Jr.,Jamie Kennedy,1,Undirected
Robert Downey Jr.,Kelvin Han Yee,1,Undirected
Robert Downey Jr.,Robert Duvall,2,Undirected
Robert Downey Jr.,Leighton Meester,1,Undirected
Robert Downey Jr.,Bernard Hill,1,Undirected
Robert Downey Jr.,Charles S. Dutton,1,Undirected
Robert Downey Jr.,Richard Thomas,1,Undirected
Robert Downey Jr.,Rip Torn,1,Undirected
Robert Downey Jr.,Aidan Quinn,1,Undirected
Robert Downey Jr.,Paul Guilfoyle,1,Undirected
Robert Downey Jr.,Holly Hunter,1,Undirected
Robert Downey Jr.,Steve Guttenberg,1,Undirected
Robert Downey Jr.,Keanu Reeves,1,Undirected
Robert Downey Jr.,Rory Cochrane,1,Undirected
Robert Downey Jr.,Matt Servitto,1,Undirected
Robert Downey Jr.,Ty Burrell,1,Undirected
Robert Downey Jr.,Corbin Bernsen,1,Undirected
Robert Downey Jr.,Larry Miller,1,Undirected
Robert Downey Jr.,Hope Davis,1,Undirected
Robert Downey Jr.,Megan Park,1,Undirected
Robert Downey Jr.,Jim Broadbent,1,Undirected
Robert Downey Jr.,Kristin Scott Thomas,1,Undirected
Robert Downey Jr.,Alfre Woodard,1,Undirected
Robert Downey Jr.,Robin Wright,1,Undirected
Robert Downey Jr.,Alex Borstein,1,Undirected
Robert Downey Jr.,Tate Donovan,1,Undirected
Robert Downey Jr.,Angel David,1,Undirected
Robert Downey Jr.,Natasha Gregson Wagner,1,Undirected
Scarlett Johansson,Chris Evans,2,Undirected
Scarlett Johansson,Bill Murray,3,Undirected
Scarlett Johansson,Garry Shandling,2,Undirected
Scarlett Johansson,Jon Favreau,1,Undirected
Scarlett Johansson,Hayley Atwell,1,Undirected
Scarlett Johansson,Djimon Hounsou,2,Undirected
Scarlett Johansson,Steve Buscemi,3,Undirected
Scarlett Johansson,Jessalyn Gilsig,1,Undirected
Scarlett Johansson,Kristin Scott Thomas,1,Undirected
Scarlett Johansson,Mia Kirshner,1,Undirected
Scarlett Johansson,Mike Starr,1,Undirected
Scarlett Johansson,Jaime King,1,Undirected
Scarlett Johansson,Louis Lombardi,1,Undirected
Scarlett Johansson,Matt Damon,1,Undirected
Scarlett Johansson,Stephanie Szostak,1,Undirected
Scarlett Johansson,Amr Waked,1,Undirected
Scarlett Johansson,Morgan Freeman,1,Undirected
Scarlett Johansson,Hugh Jackman,1,Undirected
Scarlett Johansson,Benedict Cumberbatch,1,Undirected
Scarlett Johansson,Natalie Portman,1,Undirected
Scarlett Johansson,Bill Fagerbakke,1,Undirected
Scarlett Johansson,Rodger Bumpass,1,Undirected
Scarlett Johansson,Doug E. Doug,1,Undirected
Scarlett Johansson,Riley Smith,1,Undirected
Scarlett Johansson,Dennis Quaid,1,Undirected
Scarlett Johansson,Ty Burrell,1,Undirected
Scarlett Johansson,Brian Johnson,1,Undirected
Scarlett Johansson,Matt Letscher,1,Undirected
Scarlett Johansson,Alden Ehrenreich,1,Undirected
Scarlett Johansson,Channing Tatum,1,Undirected
Scarlett Johansson,Christopher Evan Welch,1,Undirected
Scarlett Johansson,Kevin Dunn,1,Undirected
Scarlett Johansson,Mark Gatiss,1,Undirected
Scarlett Johansson,Penelope Wilton,1,Undirected
Scarlett Johansson,Alison Chand,1,Undirected
Scarlett Johansson,Paul Brannigan,1,Undirected
Scarlett Johansson,Colin Firth,1,Undirected
Scarlett Johansson,Tom Wilkinson,1,Undirected
Scarlett Johansson,Tony Danza,1,Undirected
Scarlett Johansson,T.J. Thyne,1,Undirected
Scarlett Johansson,Catherine Lambert,1,Undirected
Scarlett Johansson,Geoff Bell,1,Undirected
Scarlett Johansson,Kevin McNally,1,Undirected
Alan Rickman,Daniel Radcliffe,1,Undirected
Alan Rickman,Rupert Grint,1,Undirected
Alan Rickman,Anne Hathaway,3,Undirected
Alan Rickman,Michael Wincott,1,Undirected
Alan Rickman,Morgan Freeman,1,Undirected
Alan Rickman,Enrico Colantoni,1,Undirected
Alan Rickman,Robin Sachs,1,Undirected
Alan Rickman,Bruce Willis,1,Undirected
